salesperson_id,product_id,state,city,latitude,longitude,shiptonumber,customer_id,company_id,source_id,price,metric,tons,mode_id,terms,ship_start,completed
8,3,IA,CUSHING,42.4647099,-95.6750061,100210,212,34,558,150,$/st,26,2,FOB,Aug-17,yes
19,1,NY,WATERLOO,42.9047884,-76.8627368,216379,749,34,562,290,$/st,40,2,FOB,Aug-17,yes
13,3,WI,MENOMONIE,44.8755183,-91.9193422,101053,216,34,563,170,$/st,43,2,DEL,Aug-17,yes
14,3,NE,VERDIGRE,42.5969469,-98.0336814,201125,8,34,558,150,$/st,23,2,FOB,Aug-17,no
5,3,NE,PIERCE,42.19917,-97.5267247,202852,554,34,558,150,$/st,30,2,FOB,Aug-17,no
8,3,IA,HINTON,42.6277701,-96.2916927,101999,845,34,558,150,$/st,53,2,DEL,Aug-17,yes
5,3,KS,LIBERAL,37.0430812,-100.920999,206338,827,34,560,145,$/st,27,2,FOB,Aug-17,yes
5,3,TX,MEMPHIS,34.7247758,-100.5340144,208140,827,34,560,145,$/st,53,2,DEL,Aug-17,no
8,3,TX,LUBBOCK,33.5778631,-101.8551665,213832,29,34,560,145,$/st,51,2,DEL,Aug-17,no
9,3,OK,DRUMMOND,36.3003124,-98.0358954,208561,676,34,560,145,$/st,23,2,FOB,Aug-17,yes
9,3,OK,AMES,36.2458685,-98.1853448,101584,676,34,560,145.01,$/st,46,2,FOB,Aug-17,yes
2,3,CA,HANFORD,36.3274502,-119.6456844,210656,12,34,557,129.99,$/st,779,1,FOB,Aug-17,no
5,3,KS,ASHLAND,37.1886376,-99.7656834,217718,132,34,560,145,$/st,50,2,FOB,Aug-17,yes
5,3,OK,SHATTUCK,36.2758728,-99.8812321,204218,132,34,560,145,$/st,81,2,FOB,Aug-17,yes
2,3,AZ,CASA GRANDE,32.8795022,-111.7573521,203493,12,34,556,118.38,$/st,688,1,DEL,Aug-17,yes
2,3,ID,NEW PLYMOUTH,43.9698864,-116.81904,216452,187,34,558,118.3,$/st,195,1,FOB,Aug-17,yes
8,3,IA,GRANVILLE,41.4961096,-92.7743601,203267,29,34,558,150,$/st,78,2,FOB,Aug-17,no
