state,ship to county,ship to city,latitude,longitude,ship to number,ship to name,parent,nickname,nh3,uan,urea,an,truck,rail,unit train,rail line,barge,nh3storage,uanstorage,ureastorage,anstorage,nh32015,nh32016,nh32017,uan2015,uan2016,uan2017,urea2015,urea2016,urea2017,an2015,an2016,an2017
AL,MORGAN,DECATUR,34.6059254,-86.9833417,100174,AGRI-AFC LLC,100174,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,24.59,0,0,0,0,0,0,0,0
KY,LYON,EDDYVILLE,37.0944971,-88.080301,100175,AGRI PORT TERMINAL,100175,,no,yes,no,no,no,no,no,n/a,yes,0,23500,0,0,0,0,0,"18,100.65",0,"2,989.86",0,0,0,0,0,0
NE,HALL,GRAND ISLAND,40.9250123,-98.3420068,100177,AGRICULTURAL SERVICES INC,100177,,yes,yes,no,no,yes,yes,no,BNSF,no,65.5,12100,0,0,627.48,132.09,0,"9,288.66",0,479.11,23.85,0,0,0,0,0
MO,CHARITON,BRUNSWICK,39.4233577,-93.1304782,100178,AGRISERVICES OF BRUNSWICK LLC,100178,,yes,yes,no,no,yes,yes,no,NS,no,290.925,6600,0,0,246.75,80.83,200.43,"5,068.75","2,799.11","1,200.41",0,0,0,0,0,0
NE,MADISON,NORFOLK,42.0283379,-97.4169964,100185,AGRONOMY SUPPLY COMPANY INC,100185,,no,yes,no,no,yes,no,no,n/a,no,0,6400,0,0,0,0,0,"4,919.05",0,0,0,0,0,0,0,0
IL,PEORIA,EDELSTEIN,40.9408702,-89.6292636,100191,AKRON SERVICES INC,100191,,yes,yes,no,no,yes,no,no,n/a,no,433,800,0,0,661.12,187.11,158.42,417.49,499.94,645.1,0,0,0,0,0,0
NE,DAWSON,GOTHENBURG,40.9294511,-100.1606824,100196,ALL POINTS COOPERATIVE,100196,,yes,yes,no,no,yes,yes,no,UP,no,650,2500,0,0,502.38,274.18,0,0,"1,951.10",0,0,0,0,0,0,0
NE,NEMAHA,NEMAHA,40.3383347,-95.6730453,100209,ANDREW FERTILIZER & CHEMICAL LLC,100209,,no,yes,yes,no,yes,no,no,n/a,no,0,800,100,0,0,0,0,623.81,25.48,0,0,0,75.54,0,0,0
IA,WOODBURY,CUSHING,42.4647099,-95.6750061,100210,ANFINSON FARM STORE INC,100210,,no,yes,no,no,yes,no,no,n/a,no,0,5400,0,0,0,0,0,"4,167.69","2,859.98",807.02,0,0,0,0,0,0
KS,HARPER,ANTHONY,37.1533554,-98.0311728,100211,ANTHONY FARMERS COOP ELEV CO,100211,,yes,yes,yes,no,yes,no,no,n/a,no,74.273,2700,100,0,0,0,19.32,"1,974.71","2,055.86","1,596.81",0,54.82,0,0,0,0
MN,LYON,MARSHALL,44.4469033,-95.7883541,100213,ARCHER DANIELS MIDLAND CO,100213,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0
MN,CASS,PINE RIVER,46.7180163,-94.4041625,100214,ARCHIE SHAMP JR,100214,,no,no,yes,no,yes,no,no,n/a,no,0,0,200,0,0,0,0,0,0,0,123.02,58.86,0,0,0,0
ON,LONDO CANADA,LONDON,42.97,-81.24,100216,ARVA GRAIN CORPORATION,100216,,no,no,yes,no,yes,no,no,n/a,no,0,0,200,0,591.21,645.75,666.26,0,0,0,136.75,0,0,0,0,0
IA,CRAWFORD,ASPINWALL,41.911931,-95.135549,100219,ASPINWALL COOPERATIVE CO INC,100219,,yes,yes,no,no,yes,yes,no,BNSF,no,52.53,3700,0,0,0,0,0,485.6,"2,819.00",800.2,0,0,0,0,0,0
NE,HAMILTON,AURORA,40.8672344,-98.0042212,100223,AURORA COOPERATIVE ELEVATOR CO,100223,,yes,yes,yes,no,yes,yes,no,BNSF,no,425,13000,600,0,"2,539.83",751.5,"1,025.64",75,"10,015.80",270.27,456.66,0,0,0,0,0
IA,POTTAWATTAMIE,AVOCA,41.4766571,-95.3380549,100224,AVOCA SEED & CHEMICAL,100224,,no,yes,no,no,yes,no,no,n/a,no,0,2000,0,0,0,0,0,"1,569.89",700.19,"1,165.35",0,0,0,0,0,0
MO,ATCHISON,WESTBORO,40.5347196,-95.3191476,100226,B & L FERTILIZER CO,100226,,no,yes,no,no,yes,no,no,n/a,no,0,500,0,0,0,0,0,17.09,350.17,122.32,0,0,0,0,0,0
TX,LUBBOCK,LUBBOCK,33.5778631,-101.8551665,100229,BARKER FARM SERVICES INC,100229,,no,yes,no,no,yes,no,no,n/a,no,0,2700,0,0,0,0,0,"2,077.49",122.67,0,0,0,0,0,0,0
MN,GRANT,BARRETT,45.9105157,-95.8903298,100230,BARRETT FARM SUPPLY,100230,,no,no,yes,no,yes,no,no,n/a,no,0,0,1200,0,0,0,0,0,0,0,311.79,888.41,473.98,0,0,0
KS,LABETTE,BARTLETT,37.0547927,-95.2107992,100231,BARTLETT COOP ASSOCIATION INC,100231,,yes,yes,yes,no,yes,no,no,n/a,no,76.6,200,400,0,120.53,275.43,79.82,0,116.54,69.9,56.17,328.11,0,0,0,0
NE,MADISON,BATTLE CREEK,41.9994496,-97.5983892,100234,BATTLE CREEK FARMERS COOP NON-STOCK,100234,,yes,yes,yes,no,yes,no,no,n/a,no,200,3900,1700,0,352.61,313.11,18.84,"2,971.88","2,455.08",353.78,0,133.05,"1,331.36",0,0,0
KS,LABETTE,PARSONS,37.3403384,-95.2610838,100235,BEACHNER GRAIN INC,100235,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,0,27.89,0,0,0,0
MN,STEARNS,BELGRADE,47.5310367,-92.3740685,100236,BELGRADE COOP ASSOCIATION,100236,,yes,yes,yes,no,yes,no,no,n/a,no,246.715,200,2800,0,"1,119.75",164.65,245.23,0,134.52,0,"1,038.81","2,145.89",131.41,0,0,0
OK,TULSA,TULSA,36.1539816,-95.992775,100237,BEN TREI LTD,100237,,no,yes,yes,no,yes,no,no,n/a,no,0,100,100,0,0,0,0,68.55,0,25,0,48.43,70.95,0,0,0
OK,GARFIELD,ENID,36.3955891,-97.8783911,100243,B K FEED & FERTILIZER INC,100243,,no,yes,no,no,yes,no,no,n/a,no,0,800,0,0,"1,689.89","1,950.57",245.04,522.23,607.92,231.6,0,0,0,0,0,0
IL,SANGAMON,SPRINGFIELD,39.8017171,-89.6437107,100247,BRANDT CONSOLIDATED,100247,,no,yes,no,no,yes,no,no,n/a,no,0,3300,0,0,0,0,0,0,"2,519.99",0,0,0,0,0,0,0
CA,KERN,BUTTONWILLOW,35.400517,-119.4695619,100264,BUTTONWILLOW WAREHOUSE CO INC,100264,,yes,yes,no,no,no,yes,no,SJVR,no,76.5,15100,0,0,0,0,0,"9,408.95","11,616.68","5,356.23",0,0,0,0,0,0
IL,FORD,CABERY,40.9958657,-88.2053282,100265,CABERY FERTILIZER,100265,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,201.39,0,0,0,0,0,0,0,0,0
KS,KINGMAN,CUNNINGHAM,37.6439067,-98.4311883,100266,CAIRO COOPERATIVE EQUITY EXCH,100266,,no,yes,no,no,yes,no,no,n/a,no,0,600,0,0,0,0,0,429.45,0,0,0,0,0,0,0,0
MI,KENT,CALEDONIA,42.7891985,-85.5166864,100267,CALEDONIA FARMERS ELEVATOR CO,100267,,no,yes,yes,no,yes,no,no,n/a,no,0,2500,100,0,25.96,19.37,346.7,"1,960.75",719.73,0,45.69,0,0,0,0,0
SC,CHARLESTON,CHARLESTON,32.7765656,-79.9309216,100273,CAROLINA EASTERN INC,100273,,no,yes,yes,no,yes,no,no,n/a,no,0,2500,100,0,0,0,0,0,"1,906.14",45.46,45.42,0,0,0,0,0
OK,TILLMAN,FREDERICK,34.3920263,-99.0184093,100276,CASSIDY GRAIN CO INC,100276,,yes,yes,yes,no,yes,no,no,n/a,no,28.039,1100,100,0,0,0,0,880.1,0,0,26.88,77.52,80.36,0,0,0
NE,PLATTE,MONROE,41.4741792,-97.5994926,100280,CENTRAL VALLEY AG COOP,100280,,yes,yes,yes,no,yes,yes,yes,NCRC,no,131,5800,10900,0,510.76,958.44,285.71,"4,424.22",0,"3,073.29",103.26,130.67,"8,417.53",0,0,0
IN,CLARK,JEFFERSONVILLE,38.2775702,-85.7371847,100283,CGB FERTILIZER,100283,,no,no,yes,no,no,no,no,n/a,yes,0,0,115800,0,0,0,0,0,0,0,"72,665.55","89,113.23","34,925.54",0,0,0
LA,LAFAYETTE,LAFAYETTE,30.2240897,-92.0198427,100285,CHASTANT BROTHERS,100285,,no,no,yes,no,yes,no,no,n/a,no,0,0,1200,0,0,0,0,0,0,0,917.37,205.39,0,0,0,0
IL,IROQUOIS,CHEBANSE,41.003088,-87.9080965,100286,CHEBANSE AG SERVICE INC,100286,,no,yes,no,no,yes,no,no,n/a,no,0,1700,0,0,462.77,890.09,625.43,"1,307.70",0,0,0,0,0,0,0,0
OK,MAYES,PRYOR,36.3084275,-95.3169136,100290,CHOUTEAU LIME CO INC,100290,,no,yes,yes,no,yes,no,no,n/a,no,0,300,2100,0,0,0,0,0,202.93,25,681.74,"1,580.30","1,193.45",0,0,0
NE,PHELPS,HOLDREGE,40.4402885,-99.3698217,100291,CHS AGRI SERVICE CENTER,100291,,yes,yes,no,no,yes,yes,yes,NKCR,no,290,19100,0,0,321.81,201.45,87.22,"14,692.55","2,130.54","1,182.30",0,0,0,0,0,0
MN,DAKOTA,INVER GROVE HEIGHTS,44.8480218,-93.0427153,100292,CHS INC,100292,,no,yes,no,no,yes,no,no,n/a,no,0,300,0,0,0,0,0,201.68,0,22.48,0,0,0,0,0,0
NE,KNOX,WAUSA,42.4994468,-97.542007,100293,CHS INC - WAUSA,100293,,no,yes,yes,no,yes,no,no,n/a,no,0,17500,800,0,62.93,106.21,19.91,"13,489.77","1,988.40",0,0,604.62,0,0,0,0
KS,GOVE,QUINTER,39.0694514,-100.2323551,100294,CHS INC AGRONOMY CENTER,100292,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,65.29,59.66,0,0,0,0,0,0,0,0,0,0
OK,KINGFISHER,KINGFISHER,35.861432,-97.9317203,100295,CHS - OKARACHE,100295,,no,yes,no,no,yes,no,no,n/a,no,0,3000,0,0,0,0,20.02,"1,546.61","2,125.39","2,340.14",0,28.07,0,0,0,0
TX,HALE,PLAINVIEW,33.2917834,-97.315575,100296,CHS - WEST TEXAS,100296,,no,yes,no,no,no,yes,no,BNSF,no,0,8900,0,0,0,0,0,"6,835.73","4,008.05","3,901.15",0,0,0,0,0,0
LA,WASHINGTON,FRANKLINTON,30.8471283,-90.153141,100297,CIRCLE T FERTILIZER & SEED CO,100297,,yes,no,yes,no,yes,no,no,n/a,no,42,0,500,0,0,0,0,25.18,25.63,0,357.73,422.91,118.07,0,0,0
KS,STAFFORD,MACKSVILLE,37.959182,-98.9687099,100301,CLARKS AG LLC,100301,,no,yes,yes,no,yes,yes,no,TERR,no,0,13200,300,0,394.58,236.98,0,"7,376.51","10,178.53","2,936.75",56.54,0,235.94,0,0,0
OK,MCINTOSH,CHECOTAH,35.4700993,-95.5230356,100308,VOSS CATTLE CO,100308,,no,yes,no,no,yes,no,no,n/a,no,0,1300,0,0,0,0,0,224.28,967.92,76.53,0,0,0,0,0,0
MI,MACOMB,WASHINGTON,42.7244759,-83.0360419,100312,WASHINGTON ELEVATOR CO INC,100312,,no,yes,yes,no,yes,no,no,n/a,no,0,800,3800,0,0,0,0,203.18,595.43,204.44,"2,572.76","2,937.57",0,0,0,0
IL,MASSAC,METROPOLIS,37.1511655,-88.7319979,100313,WATERWAY AG INC,100313,,no,no,no,yes,yes,no,no,n/a,yes,0,0,0,6100,0,0,0,26.54,0,25.04,0,0,0,97.07,0,"4,679.57"
OK,GARFIELD,ENID,36.3955891,-97.8783911,100317,WB JOHNSTON GRAIN CO INC,100317,,no,yes,no,no,yes,no,no,n/a,no,0,2800,0,0,21.11,0,0,"2,139.12","1,362.11",97.79,0,0,0,0,0,0
IA,POCAHONTAS,FONDA,42.5813667,-94.8460957,100318,WELLS AG SUPPLY LLC,100318,,no,yes,no,no,yes,no,no,n/a,no,0,2500,0,0,0,186.29,0,721.33,"1,942.25",382.88,0,0,0,0,0,0
MN,KANDIYOHI,WILLMAR,45.1219075,-95.0433424,100320,WEST CENTRAL INC,100320,,no,no,yes,no,yes,no,no,n/a,no,0,0,400,0,0,0,0,0,0,0,345.02,26.56,25.45,0,0,0
MN,SWIFT,HOLLOWAY,45.2485722,-95.9080996,100322,WESTERN CONSOLIDATED COOP,100322,,yes,yes,yes,no,yes,yes,yes,BNSF,no,65.633,29300,11000,0,0,0,0,"22,544.47","22,365.45","12,497.46",77.59,0,"8,492.81",0,0,0
OK,BLAINE,WATONGA,35.8447654,-98.413128,100327,WHEELER BROTHERS GRAIN CO INC,100327,,no,yes,no,no,yes,no,no,n/a,no,0,3000,0,0,0,0,0,"2,330.42","1,798.96","1,680.75",0,0,0,0,0,0
MI,KENT,GRAND RAPIDS,42.9633599,-85.6680863,100329,WILBUR ELLIS NORTHEAST TERMINAL,100329,,no,yes,no,no,yes,no,no,n/a,no,0,3900,0,0,0,0,0,"2,994.80",43.79,"1,407.34",0,0,0,0,0,0
WI,ADAMS,GRAND MARSH,43.8869183,-89.7062359,100332,WILBUR ELLIS CO GRAND MARSH,100332,,no,yes,no,no,yes,yes,no,UP,no,0,7900,0,0,0,0,0,"6,077.15","1,591.08",0,0,0,0,0,0,0
ND,WARD,MINOT,48.2325095,-101.2962732,100334,WILBUR ELLIS MINOT,100334,,no,yes,no,no,no,yes,no,BNSF,no,0,1500,0,0,0,0,0,"1,186.33",854.53,675.51,0,0,0,0,0,0
WI,ADAMS,ADAMS,43.956082,-89.8181818,100346,ALLIED COOPERATIVE,100346,,yes,yes,yes,no,yes,yes,no,UP,no,65,10300,100,0,21,183.63,81.89,"7,924.38",97.4,0,49.72,0,0,0,0,0
IL,FAYETTE,VANDALIA,38.960601,-89.0936778,100348,WOOLSEY BROS FARM SUPPLY INC,100348,,no,yes,no,no,yes,no,no,n/a,no,0,5400,0,0,0,0,0,"4,153.15","3,568.24","2,207.13",0,0,0,0,0,0
SD,YANKTON,YANKTON,42.8711088,-97.3972813,100350,YANKTON AG SERVICE,100350,,no,yes,yes,no,yes,no,no,n/a,no,0,4300,900,0,0,0,0,"3,335.07",662.97,181.11,212.21,26.97,730.12,0,0,0
KS,WOODSON,YATES CENTER,37.8811472,-95.7333175,100353,YATES CENTER ELEVATOR INC,100353,,no,yes,no,no,yes,no,no,n/a,no,0,500,0,0,0,0,0,348.29,379.52,177.54,0,0,0,0,0,0
